cell_name,0,
4398447675,3,3G_BACKHAUL_CONGESTION
4152570378,3,3G_BACKHAUL_CONGESTION
2902602672,1,4G_RAN_CONGESTION
1080083695,0,NC
4413045057,2,4G_BACKHAUL_CONGESTION
2401138745,3,3G_BACKHAUL_CONGESTION
430135868,1,4G_RAN_CONGESTION
2602660266,3,3G_BACKHAUL_CONGESTION
1845742365,1,4G_RAN_CONGESTION
155531973,1,4G_RAN_CONGESTION
1460550754,0,NC
2680109990,1,4G_RAN_CONGESTION
2008893435,1,4G_RAN_CONGESTION
267057221,2,4G_BACKHAUL_CONGESTION
3838788525,0,NC
5045794024,0,NC
5315600179,0,NC
1103445815,0,NC
2225965608,0,NC
3204566964,2,4G_BACKHAUL_CONGESTION
2358057980,0,NC
2015394225,0,NC
261804959,0,NC
2233619874,0,NC
4160898910,3,3G_BACKHAUL_CONGESTION
1796629160,0,NC
4655911216,1,4G_RAN_CONGESTION
961216863,1,4G_RAN_CONGESTION
5212067961,2,4G_BACKHAUL_CONGESTION
2826419393,3,3G_BACKHAUL_CONGESTION
830236119,0,NC
3608626159,1,4G_RAN_CONGESTION
3045597816,1,4G_RAN_CONGESTION
4461152473,1,4G_RAN_CONGESTION
5197521919,1,4G_RAN_CONGESTION
4901624805,0,NC
5429538226,0,NC
4467808819,1,4G_RAN_CONGESTION
2272693423,2,4G_BACKHAUL_CONGESTION
967772508,3,3G_BACKHAUL_CONGESTION
4827391271,1,4G_RAN_CONGESTION
1858110688,1,4G_RAN_CONGESTION
3608861041,3,3G_BACKHAUL_CONGESTION
5159346483,3,3G_BACKHAUL_CONGESTION
4580484716,1,4G_RAN_CONGESTION
2354507306,0,NC
1052900340,2,4G_BACKHAUL_CONGESTION
3957808719,2,4G_BACKHAUL_CONGESTION
3542108320,1,4G_RAN_CONGESTION
2926079177,3,3G_BACKHAUL_CONGESTION
306217455,1,4G_RAN_CONGESTION
353886650,2,4G_BACKHAUL_CONGESTION
4063501108,3,3G_BACKHAUL_CONGESTION
3782954063,3,3G_BACKHAUL_CONGESTION
5012995977,0,NC
1148499220,2,4G_BACKHAUL_CONGESTION
3820590548,2,4G_BACKHAUL_CONGESTION
3063073768,1,4G_RAN_CONGESTION
10613280,2,4G_BACKHAUL_CONGESTION
5544671315,3,3G_BACKHAUL_CONGESTION
4082226021,2,4G_BACKHAUL_CONGESTION
3933859512,0,NC
1744024882,1,4G_RAN_CONGESTION
5308782711,1,4G_RAN_CONGESTION
